Iteration,EEGNetv4,ShallowFBCSPNet_4_38,ShallowFBCSPNet_1_48,SCCNet,,,,,,,
0,0.5706,0.6049,0.5131,0.6597,,,,,,,
1,0.5706,0.6049,0.5131,0.6601,,,,,,,
2,0.5706,0.6049,0.5131,0.6597,,,,,,,
3,0.5706,0.6049,0.5131,0.6597,,,,,,,
4,0.5706,0.6049,0.5131,0.6601,,,,,,,
5,0.5706,0.6049,0.5131,0.6601,,,,,,,
6,0.5706,0.6049,0.5131,0.6597,,,,,,,
7,0.5706,0.6049,0.5131,0.6601,,,,,,,
8,0.5706,0.6049,0.5131,0.6597,,,,,,,
9,0.5706,0.6049,0.5131,0.6597,,,,,,,
,,,,,,,,,,,
Subject,EEGNetv4,ShallowFBCSPNet_4_38,ShallowFBCSPNet_1_48,SCCNet,SCCNet_10fold,SCCNet_5fold,,SCCNet_WD1e-1,SCCNet_10foldWD1e-1,SCCNet_WD1e-1_DA,SCCNe_10foldt_WD1e-1_DA
1,0.6215,0.6806,0.5833,0.7375,0.8189,0.8413,,0.8406,0.8448,0.8521,0.9091
2,0.4653,0.3785,0.4271,0.5104,0.6551,0.6344,,0.5885,0.6983,0.5639,0.76
3,0.7986,0.7813,0.6389,0.8056,0.924,0.931,,0.8892,0.9224,0.8997,0.9287
4,0.5417,0.6076,0.4757,0.6111,0.6844,0.6448,,0.6333,0.7155,0.6403,0.8022
5,0.4097,0.4583,0.2951,0.4479,0.712,0.7068,,0.566,0.7586,0.65,0.811
6,0.4028,0.4271,0.441,0.4861,0.6086,0.5689,,0.4931,0.6568,0.4396,0.7494
7,0.5139,0.7222,0.5764,0.8021,0.9258,0.9482,,0.8983,0.9379,0.8507,0.9436
8,0.7118,0.691,0.5694,0.7778,0.8931,0.9,,0.8469,0.8965,0.8764,0.9356
9,0.6701,0.6979,0.6111,0.7604,0.8913,0.9103,,0.8375,0.9034,0.8163,0.8356
AVG,0.5706,0.6049,0.5131,0.6599,0.7904,0.7873,,0.7326,0.8149,0.7321,0.8528
,,,,,,,,,,,
Subject,hscnn_10fold,,,SCCTransformer,,,,,,SCCNet_WD1e-3_DA,SCCNet_WD1e-3_10fold_DA
1,0.6155,,,0.6962,,,,,,0.7847,0.9287
2,0.2793,,,0.4656,,,,,,0.5278,0.8137
3,0.5741,,,0.8191,,,,,,0.8125,0.931
4,0.3913,,,0.5111,,,,,,0.6563,0.8149
5,0.2379,,,0.3809,,,,,,0.5521,0.7873
6,0.2931,,,0.4681,,,,,,0.5347,0.7919
7,0.3672,,,0.8049,,,,,,0.8854,0.9712
8,0.5896,,,0.7542,,,,,,0.8056,0.9597
9,0.7086,,,0.7059,,,,,,0.7743,0.8678
AVG,0.4507,,,0.6229,,,,,,0.7037,0.874
